"Word","Length","Freq_HAL","Log_Freq_HAL","POS","I_Mean_RT","I_Mean_Accuracy"
"alleviates","10","111","4.71","VB","NULL","NULL"
"alligators","10","238","5.47","NN","NULL","NULL"
"alliterated","11","0","0.00","VB|JJ","NULL","NULL"
"alliterates","11","15","2.71","VB","NULL","NULL"
"alliterating","12","1","0.00","VB|NN|JJ","NULL","NULL"
"alliteratively","14","1","0.00","RB","NULL","NULL"
"allocates","9","658","6.49","VB","NULL","NULL"
"allocating","10","1003","6.91","VB","NULL","NULL"
"ALLONS","6","72","4.28","NULL","NULL","NULL"
"allopathical","12","0","0.00","NULL","NULL","NULL"
"allopathically","14","0","0.00","RB","NULL","NULL"
"allots","6","65","4.17","VB","NULL","NULL"
"allowably","9","1","0.00","RB","NULL","NULL"
"alloyed","7","49","3.89","VB|JJ","NULL","NULL"
"alloying","8","63","4.14","VB|NN|JJ","NULL","NULL"
"ALLSO","5","64","4.16","NULL","NULL","NULL"
"ALLSTATES","9","0","0.00","NULL","NULL","NULL"
"allured","7","15","2.71","VB","NULL","NULL"
"allurements","11","5","1.61","NN","NULL","NULL"
"allures","7","137","4.92","NN","NULL","NULL"
"allusively","10","1","0.00","RB","NULL","NULL"
"alluvia","7","0","0.00","NULL","NULL","NULL"
"alluvial","8","27","3.30","JJ","NULL","NULL"
"alluvium","8","7","1.95","NN","NULL","NULL"
"alluviums","9","0","0.00","NN","NULL","NULL"
"allying","7","67","4.20","VB|NN","NULL","NULL"
"ALMA","4","1376","7.23","NN","NULL","NULL"
"ALMADEN","7","261","5.56","NN","NULL","NULL"
"ALMAGEST","8","10","2.30","NN","NULL","NULL"
"almanacs","8","258","5.55","NN","NULL","NULL"
"almoner","7","1","0.00","NN","NULL","NULL"
"almoners","8","0","0.00","NN","NULL","NULL"
"ALOKUT","6","0","0.00","NULL","NULL","NULL"
"aloofly","7","1","0.00","RB","NULL","NULL"
"alopecia","8","45","3.81","NN","NULL","NULL"
"ALORS","5","939","6.84","NULL","NULL","NULL"
"alpaca","6","75","4.32","NN","NULL","NULL"
"alpacas","7","15","2.71","NN","NULL","NULL"
"alpenhorn","9","8","2.08","NN","NULL","NULL"
"alpenhorns","10","1","0.00","NN","NULL","NULL"
"alpenstock","10","3","1.10","NN","NULL","NULL"
"alpenstocks","11","0","0.00","NN","NULL","NULL"
"ALPERS","6","73","4.29","NULL","NULL","NULL"
"ALPERT","6","763","6.64","NN","NULL","NULL"
"ALPERTS","7","6","1.79","NULL","NULL","NULL"
"alphabetically","14","904","6.81","RB","NULL","NULL"
"alphabets","9","381","5.94","NN","NULL","NULL"
"ALPHARETTA","10","183","5.21","NULL","NULL","NULL"
"alphas","6","1060","6.97","NN","NULL","NULL"
"ALPHONSE","8","160","5.08","NN","NULL","NULL"
"alpinism","8","3","1.10","NN","NULL","NULL"
"alpinist","8","9","2.20","NN","NULL","NULL"
"alpinists","9","10","2.30","NULL","NULL","NULL"
"ALREADEH","8","0","0.00","NULL","NULL","NULL"
"Alsace","6","140","4.94","NN","NULL","NULL"
"Alsatian","8","34","3.53","NN|JJ","NULL","NULL"
"Alsatians","9","17","2.83","NN","NULL","NULL"
"ALSING","6","2","0.69","NULL","NULL","NULL"
"ALSOP","5","48","3.87","NN","NULL","NULL"
"ALTAIRIANS","10","1","0.00","NN","NULL","NULL"
"altarpieces","11","1","0.00","NN","NULL","NULL"
"altars","6","198","5.29","NN","NULL","NULL"
"ALTENBURG","9","36","3.58","NULL","NULL","NULL"
"alterable","9","17","2.83","JJ","NULL","NULL"
"altercated","10","0","0.00","VB|JJ","NULL","NULL"
"altercates","10","0","0.00","VB","NULL","NULL"
"altercating","11","0","0.00","VB|NN|JJ","NULL","NULL"
"altercations","12","39","3.66","NN","NULL","NULL"
"alternates","10","536","6.28","VB","NULL","NULL"
"alternations","12","44","3.78","NN","NULL","NULL"
"alternators","11","120","4.79","NN","NULL","NULL"
"ALTHAUS","7","100","4.61","NULL","NULL","NULL"
"ALTHEA","6","55","4.01","NN","NULL","NULL"
"ALTHO","5","712","6.57","NULL","NULL","NULL"
"altimeter","9","281","5.64","NN","NULL","NULL"
"altimeters","10","47","3.85","NN","NULL","NULL"
"altitudes","9","653","6.48","NN","NULL","NULL"
"ALTON","5","415","6.03","NN","NULL","NULL"
"altos","5","1125","7.03","NN","NULL","NULL"
"altruisms","9","2","0.69","NN","NULL","NULL"
"altruistic","10","574","6.35","JJ","NULL","NULL"
"altruists","9","31","3.43","NN","NULL","NULL"
"alumna","6","25","3.22","NN","NULL","NULL"
"alumnus","7","434","6.07","NN","NULL","NULL"
"ALUNDUM","7","1","0.00","NN","NULL","NULL"
"ALUSIK","6","11","2.40","NULL","NULL","NULL"
"ALUSIK'S","8","0","0.00","NULL","NULL","NULL"
"ALVA","4","149","5.00","NN","NULL","NULL"
"ALVAREZ","7","1222","7.11","NN","NULL","NULL"
"ALVEAR","6","12","2.48","NULL","NULL","NULL"
"alveolars","9","0","0.00","NN","NULL","NULL"
"ALVIN","5","1590","7.37","NN","NULL","NULL"
"ALVISE","6","2","0.69","NULL","NULL","NULL"
"ALWIN","5","55","4.01","NN","NULL","NULL"
"alyssum","7","12","2.48","NN","NULL","NULL"
"alyssums","8","0","0.00","NN","NULL","NULL"
"AMADEE","6","1","0.00","NULL","NULL","NULL"
"AMADEE'S","8","0","0.00","NULL","NULL","NULL"
"AMADO","5","221","5.40","NULL","NULL","NULL"
"amah","4","0","0.00","NN","NULL","NULL"
"amahs","5","0","0.00","NULL","NULL","NULL"
"amalgam","7","623","6.43","NN","NULL","NULL"
"amalgamates","11","18","2.89","VB","NULL","NULL"
"amalgamating","12","9","2.20","VB|NN|JJ","NULL","NULL"
"amalgamations","13","16","2.77","NN","NULL","NULL"
"amalgams","8","49","3.89","NN","NULL","NULL"
"amanuenses","10","0","0.00","NN","NULL","NULL"
"amanuensis","10","19","2.94","NN","NULL","NULL"
"AMARAL","6","103","4.63","NULL","NULL","NULL"
"amaryllis","9","63","4.14","NN","NULL","NULL"
"amaryllises","11","0","0.00","NN","NULL","NULL"
"amassed","7","253","5.53","VB","NULL","NULL"
"amasses","7","6","1.79","VB","NULL","NULL"
"amateurishly","12","7","1.95","RB","NULL","NULL"
"amateurism","10","7","1.95","NN","NULL","NULL"
"amazes","6","886","6.79","VB","NULL","NULL"
"ambassadorial","13","70","4.25","JJ","NULL","NULL"
"ambassadorship","14","19","2.94","NN","NULL","NULL"
"ambassadorships","15","2","0.69","NULL","NULL","NULL"
"ambassadress","12","0","0.00","NN","NULL","NULL"
"ambassadresses","14","0","0.00","NN","NULL","NULL"
"ambergris","9","50","3.91","NN","NULL","NULL"
"ambidextrously","14","6","1.79","RB","NULL","NULL"
"ambiguously","11","51","3.93","RB","NULL","NULL"
"ambit","5","78","4.36","NN","NULL","NULL"
"ambitiousness","13","8","2.08","NN","NULL","NULL"
"ambits","6","2","0.69","NN","NULL","NULL"
"ambivalently","12","9","2.20","RB","NULL","NULL"
"ambiguousness","13","0","0.00","NN","NULL","NULL"
"AMBLER","6","98","4.58","NN","NULL","NULL"
"ambles","6","16","2.77","VB|NN","NULL","NULL"
"ambulant","8","7","1.95","JJ","NULL","NULL"
"ambuscaded","10","0","0.00","VB|JJ","NULL","NULL"
"ambuscades","10","4","1.39","NN","NULL","NULL"
"ambuscading","11","0","0.00","VB","NULL","NULL"
"ambushing","9","46","3.83","VB|NN","NULL","NULL"
"AmE","3","334","5.81","NULL","NULL","0.82"
"AMEAUX","6","0","0.00","NULL","NULL","NULL"
"ameliorated","11","54","3.99","VB","NULL","NULL"
"ameliorates","11","15","2.71","VB","NULL","NULL"
"ameliorating","12","42","3.74","VB|NN|JJ","NULL","NULL"
"amelioration","12","43","3.76","NN","NULL","NULL"
"amends","6","502","6.22","VB|NN","NULL","NULL"
"amenities","9","507","6.23","NN","NULL","NULL"
"AMENITSKII","10","0","0.00","NULL","NULL","NULL"
"AMERICANEGRO","12","0","0.00","NULL","NULL","NULL"
"ammeters","8","5","1.61","NULL","NULL","NULL"
"AMMONIAC","8","2","0.69","JJ","NULL","NULL"
"ammoniate","9","0","0.00","VB|NN","NULL","NULL"
"ammoniated","10","1","0.00","VB","NULL","NULL"
"Americanism","11","237","5.47","NN","NULL","NULL"
"Americanisms","12","34","3.53","NN","NULL","NULL"
"americanized","12","229","5.43","JJ|VB","NULL","NULL"
"americanizes","12","0","0.00","VB","NULL","NULL"
"americanizing","13","12","2.48","VB|NN|JJ","NULL","NULL"
"Amerindian","10","56","4.03","NN|JJ","NULL","NULL"
"Amerindians","11","40","3.69","NN","NULL","NULL"
"AMETHYSTINE","11","1","0.00","JJ","NULL","NULL"
"amethysts","9","6","1.79","NN","NULL","NULL"
"Amhara","6","10","2.30","NN","NULL","NULL"
"Amharic","7","63","4.14","NN|JJ","NULL","NULL"
"amiability","10","10","2.30","NN","NULL","NULL"
"amiably","7","49","3.89","RB","NULL","NULL"
"amicability","11","5","1.61","NN","NULL","NULL"
"AMICAM","6","0","0.00","NN","NULL","NULL"
"AMICI","5","245","5.50","NULL","NULL","NULL"
"amidships","9","29","3.37","RB","NULL","NULL"
"amir","4","835","6.73","NN","NULL","NULL"
"amirs","5","1","0.00","NN","NULL","NULL"
"AMIS","4","446","6.10","NN","NULL","NULL"
"ammeter","7","43","3.76","NN","NULL","NULL"
"ammoniates","10","0","0.00","NULL","NULL","NULL"
"ammoniating","11","0","0.00","VB","NULL","NULL"
"ammonite","8","30","3.40","NN","NULL","NULL"
"ammonites","9","43","3.76","NULL","NULL","NULL"
"amnesties","9","27","3.30","NN","NULL","NULL"
"amoebae","7","26","3.26","NN","NULL","NULL"
"amoebas","7","41","3.71","NN","NULL","NULL"
"amoebic","7","28","3.33","JJ","NULL","NULL"
"AMONASRO","8","0","0.00","NULL","NULL","NULL"
"amorously","9","9","2.20","RB","NULL","NULL"
"amorousness","11","0","0.00","NN","NULL","NULL"
"amorphousness","13","3","1.10","NN","NULL","NULL"
"amortizations","13","1","0.00","NN","NULL","NULL"
"amortized","9","145","4.98","VB","NULL","NULL"
"amortizes","9","4","1.39","VB","NULL","NULL"
"amortizing","10","29","3.37","VB|NN","NULL","NULL"
"AMOS","4","4044","8.30","NN","NULL","NULL"
"amours","6","22","3.09","NN","NULL","NULL"
"amperage","8","139","4.93","NN","NULL","NULL"
"amperes","7","49","3.89","NN","NULL","NULL"
"ampersands","10","27","3.30","NN","NULL","NULL"
"amphibians","10","333","5.81","NN","NULL","NULL"
"AMPHIBOLOGY","11","0","0.00","NN","NULL","NULL"
"amphitheatre","12","133","4.89","NN","NULL","NULL"
"amphitheatres","13","1","0.00","NN","NULL","NULL"
"amphora","7","8","2.08","NN","NULL","NULL"
"amphorae","8","28","3.33","NULL","NULL","NULL"
"amphoras","8","13","2.56","NN","NULL","NULL"
"ampler","6","1","0.00","JJ","NULL","NULL"
"amplest","7","0","0.00","JJ","NULL","NULL"
"amplifies","9","163","5.09","VB","NULL","NULL"
"ampoule","7","22","3.09","NN","NULL","NULL"
"ampoules","8","13","2.56","NN","NULL","NULL"
"amps","4","3774","8.24","NN","NULL","NULL"
"amputates","9","1","0.00","VB","NULL","NULL"
"amputating","10","32","3.47","VB|NN|JJ","NULL","NULL"
"amputations","11","51","3.93","NN","NULL","NULL"
"amputees","8","165","5.11","NN","NULL","NULL"
"AMRA","4","89","4.49","NULL","NULL","NULL"
"AMT","3","708","6.56","NN","NULL","0.97"
"amuses","6","213","5.36","VB","NULL","NULL"
"ANA","3","3960","8.28","minor","NULL","NULL"
"ANABAPTISTS","11","8","2.08","NN","NULL","NULL"
"ANABEL","6","13","2.56","NN","NULL","NULL"
"ANABAPTIST","10","7","1.95","NN","NULL","NULL"
"anachronistic","13","230","5.44","JJ","NULL","NULL"
"anaemia","7","58","4.06","NN","NULL","NULL"
"anaemic","7","6","1.79","JJ","NULL","NULL"
"anaemically","11","0","0.00","RB","NULL","NULL"
"anaesthesia","11","123","4.81","NN","NULL","NULL"
"anaesthetics","12","28","3.33","NN","NULL","NULL"
"anaesthetist","12","15","2.71","NN","NULL","NULL"
"anaesthetists","13","3","1.10","NN","NULL","NULL"
"anaesthetized","13","12","2.48","VB|JJ","NULL","NULL"
"anaesthetizes","13","1","0.00","VB","NULL","NULL"
"anaesthetizing","14","4","1.39","VB|NN|JJ","NULL","NULL"
"anagrams","8","320","5.77","NN","NULL","NULL"
"analecta","8","0","0.00","NULL","NULL","NULL"
"analects","8","69","4.23","NN","NULL","NULL"
"analgesia","9","69","4.23","NN","NULL","NULL"
"analgesic","9","114","4.74","JJ","NULL","NULL"
"analgesics","10","116","4.75","NULL","NULL","NULL"
"analogize","9","18","2.89","VB","NULL","NULL"
"analogized","10","26","3.26","VB","NULL","NULL"
"analogizes","10","2","0.69","VB","NULL","NULL"
"analogizing","11","9","2.20","VB|NN|JJ","NULL","NULL"
"analogously","11","90","4.50","RB","NULL","NULL"
"analogue","8","1260","7.14","NN","NULL","NULL"
"analogues","9","188","5.24","NN","NULL","NULL"
"analyse","7","927","6.83","VB","NULL","NULL"
"analysing","9","441","6.09","VB|NN","NULL","NULL"
"ANALYTICITY","11","1","0.00","NULL","NULL","NULL"
"ANALYTROL","9","0","0.00","NULL","NULL","NULL"
"ANANIA","6","1","0.00","NULL","NULL","NULL"
"anapaest","8","0","0.00","NN","NULL","NULL"
"anapaestic","10","0","0.00","NULL","NULL","NULL"
"anapaests","9","0","0.00","NULL","NULL","NULL"
"ANAPLASMOSIS","12","16","2.77","NN","NULL","NULL"
"anarchically","12","0","0.00","RB","NULL","NULL"
"anarchistic","11","103","4.63","JJ","NULL","NULL"
"anarchistically","15","0","0.00","NN|VB","NULL","NULL"
"anarchists","10","926","6.83","NN","NULL","NULL"
"ANASTOMOSES","11","3","1.10","NN","NULL","NULL"
"anathema","8","326","5.79","NN","NULL","NULL"
"anathemas","9","8","2.08","NN","NULL","NULL"
"ANASTOMOSIS","11","22","3.09","NN","NULL","NULL"
"ANASTOMOTIC","11","0","0.00","JJ","NULL","NULL"
"anathematize","12","0","0.00","VB","NULL","NULL"
"anathematized","13","4","1.39","VB","NULL","NULL"
"anathematizes","13","0","0.00","NULL","NULL","NULL"
"anathematizing","14","0","0.00","VB","NULL","NULL"
"ANATOLE","7","221","5.40","NN","NULL","NULL"
"ANATOMICALS","11","0","0.00","NULL","NULL","NULL"
"anatomies","9","16","2.77","NN","NULL","NULL"
"anatomist","9","90","4.50","NN","NULL","NULL"
"anatomists","10","14","2.64","NN","NULL","NULL"
"ANCEL","5","3","1.10","NULL","NULL","NULL"
"ancestress","10","6","1.79","NN","NULL","NULL"
"ancestresses","12","2","0.69","NULL","NULL","NULL"
"ancestries","10","27","3.30","NN","NULL","NULL"
"anchorages","10","40","3.69","NN","NULL","NULL"
"anchoress","9","2","0.69","NN","NULL","NULL"
"anchoresses","11","0","0.00","NULL","NULL","NULL"
"anchorite","9","0","0.00","NN","NULL","NULL"
"anchorites","10","0","0.00","NN","NULL","NULL"
"ANCHORITISM","11","0","0.00","NN","NULL","NULL"
"anchormen","9","18","2.89","NN","NULL","NULL"
"anchovies","9","192","5.26","NN","NULL","NULL"
"ancillaries","11","3","1.10","NN","NULL","NULL"
"ANCISTRODON","11","0","0.00","NULL","NULL","NULL"
"andantes","8","2","0.69","NN","NULL","NULL"
"ANDERLINI","9","0","0.00","NULL","NULL","NULL"
"ANDERS","6","2311","7.75","NN","NULL","NULL"
"ANDERSON","8","15861","9.67","NN","NULL","NULL"
"ANDERSON'S","10","520","6.25","encl","NULL","NULL"
"andiron","7","15","2.71","NN","NULL","NULL"
"andirons","8","5","1.61","NN","NULL","NULL"
"Andorra","7","193","5.26","NN","NULL","NULL"
"Andorran","8","9","2.20","JJ|NN","NULL","NULL"
"Andorrans","9","0","0.00","NN","NULL","NULL"
"ANDREI","6","830","6.72","NN","NULL","NULL"
"ANDREI'S","8","3","1.10","NULL","NULL","NULL"
"ANDRENA","7","0","0.00","NULL","NULL","NULL"
"ANDRENAS","8","0","0.00","NULL","NULL","NULL"
"ANDRES","6","988","6.90","NN","NULL","NULL"
"ANDREWS","7","2947","7.99","NN","NULL","NULL"
"ANDROFSKI","9","0","0.00","NULL","NULL","NULL"
"androgyne","9","9","2.20","NN","NULL","NULL"
"androgynes","10","6","1.79","NULL","NULL","NULL"
"ANDROMACHE","10","5","1.61","NN","NULL","NULL"
"ANDRUS","6","69","4.23","NN","NULL","NULL"
"ANDRUSES","8","0","0.00","NULL","NULL","NULL"
"ANEMATED","8","0","0.00","NULL","NULL","NULL"
"'neath","6","0","0.00","NULL","NULL","NULL"
"'re","3","0","0.00","NULL","NULL","NULL"
"'shun","5","0","0.00","NULL","NULL","NULL"
"'tis","4","0","0.00","encl","NULL","NULL"
"'twas","5","0","0.00","NULL","NULL","NULL"
"'tween","6","0","0.00","NULL","NULL","NULL"
"'twere","6","0","0.00","NULL","NULL","NULL"
"'twill","6","0","0.00","NULL","NULL","NULL"
"'twixt","6","0","0.00","NULL","NULL","NULL"
"'twould","7","0","0.00","NULL","NULL","NULL"
"'un","3","0","0.00","NULL","NULL","NULL"
"'ve","3","0","0.00","NULL","NULL","NULL"
"a's","3","1836","7.52","NN|encl","NULL","NULL"
"AA","2","13782","9.53","NN","NULL","NULL"
"AAAWWW","6","1","0.00","NULL","NULL","NULL"
"AAs","3","838","6.73","NN","NULL","NULL"
"abaci","5","4","1.39","NULL","NULL","NULL"
"abacuses","8","8","2.08","NN","NULL","NULL"
"abaft","5","13","2.56","RB|minor","NULL","NULL"
"abandons","8","182","5.20","VB","NULL","NULL"
"ABARINGE","8","0","0.00","NULL","NULL","NULL"
"abased","6","6","1.79","VB","NULL","NULL"
"abases","6","9","2.20","VB","NULL","NULL"
"abashed","7","42","3.74","JJ","NULL","NULL"
"abashes","7","0","0.00","VB","NULL","NULL"
"abashing","8","0","0.00","VB|NN|JJ","NULL","NULL"
"abasing","7","8","2.08","VB|NN","NULL","NULL"
"abatement","9","147","4.99","NN","NULL","NULL"
"abates","6","21","3.04","VB","NULL","NULL"
"abating","7","52","3.95","VB","NULL","NULL"
"abattoir","8","55","4.01","NN","NULL","NULL"
"abattoirs","9","25","3.22","NN","NULL","NULL"
"ABATUNO","7","0","0.00","NULL","NULL","NULL"
"ABBAS","5","423","6.05","NN","NULL","NULL"
"ABBAS'S","7","3","1.10","NULL","NULL","NULL"
"abbe","4","128","4.85","NN","NULL","NULL"
"ABBERATIONS","11","39","3.66","NULL","NULL","NULL"
"abbes","5","1","0.00","NULL","NULL","NULL"
"abbesses","8","4","1.39","NN","NULL","NULL"
"abbeys","6","18","2.89","NN","NULL","NULL"
"ZHITZHAKLI","10","0","0.00","NULL","NULL","NULL"
"ZHOK","4","0","0.00","NULL","NULL","NULL"
"ZIEGFELD","8","22","3.09","NN","NULL","NULL"
"ZIFFREN","7","0","0.00","NULL","NULL","NULL"
"ziggurat","8","42","3.74","NULL","NULL","NULL"
"ziggurats","9","14","2.64","NULL","NULL","NULL"
"ZIGGY","5","519","6.25","JJ|NN","NULL","NULL"
"zigzagged","9","6","1.79","VB|JJ","NULL","NULL"
"zigzags","7","16","2.77","VB|NN","NULL","NULL"
"Zimbabwean","10","48","3.87","JJ|NN","NULL","NULL"
"Zimbabweans","11","22","3.09","NN","NULL","NULL"
"ZIMMERMAN","9","1867","7.53","NN","NULL","NULL"
"ZINMAN","6","11","2.40","NULL","NULL","NULL"
"zinnia","6","29","3.37","NN","NULL","NULL"
"zinnias","7","9","2.20","NN","NULL","NULL"
"Zionism","7","734","6.60","NN","NULL","NULL"
"Zionist","7","837","6.73","JJ","NULL","NULL"
"Zionists","8","331","5.80","NN","NULL","NULL"
"zippers","7","237","5.47","NN|VB","NULL","NULL"
"zippier","7","17","2.83","JJ","NULL","NULL"
"zippiest","8","1","0.00","JJ","NULL","NULL"
"zipping","7","361","5.89","VB|NN","NULL","NULL"
"zips","4","655","6.48","NN|VB","NULL","NULL"
"ZIRALDO","7","4","1.39","NULL","NULL","NULL"
"zircon","6","381","5.94","NN","NULL","NULL"
"zircons","7","5","1.61","NN","NULL","NULL"
"zither","6","50","3.91","NN","NULL","NULL"
"zithers","7","12","2.48","NN","NULL","NULL"
"zizz","4","0","0.00","NULL","NULL","NULL"
"zloty","5","9","2.20","NN","NULL","NULL"
"zlotys","6","18","2.89","NN|minor","NULL","NULL"
"zodiacs","7","51","3.93","NN","NULL","NULL"
"ZOE","3","532","6.28","NN","NULL","NULL"
"zonal","5","73","4.29","JJ","NULL","NULL"
"zonked","6","26","3.26","JJ|VB","NULL","NULL"
"ZOOEY","5","34","3.53","NULL","NULL","NULL"
"zoological","10","218","5.38","JJ","NULL","NULL"
"zoologists","10","52","3.95","NN","NULL","NULL"
"zoomed","6","263","5.57","VB|JJ","NULL","NULL"
"ZOOOOP","6","0","0.00","NULL","NULL","NULL"
"zoophyte","8","7","1.95","NN","NULL","NULL"
"zoophytes","9","0","0.00","NULL","NULL","NULL"
"zoos","4","443","6.09","NN","NULL","NULL"
"ZORRILLAS","9","0","0.00","NULL","NULL","NULL"
"ZOTE","4","6","1.79","NULL","NULL","NULL"
"Zouave","6","5","1.61","NN","NULL","NULL"
"Zouaves","7","8","2.08","NULL","NULL","NULL"
"ZOUNDS","6","41","3.71","minor","NULL","NULL"
"ZU","2","7064","8.86","NULL","NULL","NULL"
"ZUBKOVSKAYA","11","0","0.00","NULL","NULL","NULL"
"zucchinis","9","8","2.08","NN","NULL","NULL"
"ZURCHER","7","33","3.50","NULL","NULL","NULL"
"ZWEI","4","594","6.39","NULL","NULL","NULL"
"ZWORYKIN","8","1","0.00","NN","NULL","NULL"
"WOLFF","5","577","6.36","NN","NULL","NULL"
"WOLFF'S","7","17","2.83","NN|encl","NULL","NULL"
"wolfhounds","10","43","3.76","NN","NULL","NULL"
"wolfing","7","49","3.89","VB|NN|JJ","NULL","NULL"
"wolfish","7","50","3.91","JJ","NULL","NULL"
"WOLFISHLY","9","4","1.39","RB","NULL","NULL"
"wolfram","7","600","6.40","NN","NULL","NULL"
"wolfs","5","56","4.03","NN|VB","NULL","NULL"
"wolfsbane","9","94","4.54","NN","NULL","NULL"
"WOLLMAN","7","56","4.03","NULL","NULL","NULL"
"WOLPE","5","11","2.40","NULL","NULL","NULL"
"WOLPE'S","7","0","0.00","NULL","NULL","NULL"
"WOLSTENHOLME","12","93","4.53","NULL","NULL","NULL"
"WOLVERTON","9","102","4.62","NN","NULL","NULL"
"womanized","9","0","0.00","VB","NULL","NULL"
"womanizers","10","4","1.39","NN","NULL","NULL"
"womanizes","9","1","0.00","VB","NULL","NULL"
"womanizing","10","120","4.79","VB|NN|JJ","NULL","NULL"
"womanlike","9","0","0.00","JJ|RB","NULL","NULL"
"womanliness","11","1","0.00","NN","NULL","NULL"
"wombats","7","215","5.37","NN","NULL","NULL"
"wombs","5","105","4.65","NN","NULL","NULL"
"wonderlands","11","3","1.10","NN","NULL","NULL"
"wonderment","10","136","4.91","NN","NULL","NULL"
"WONDUH","6","0","0.00","NULL","NULL","NULL"
"wonkier","7","0","0.00","JJ","NULL","NULL"
"wonkiest","8","0","0.00","NULL","NULL","NULL"
"wonky","5","183","5.21","JJ","NULL","NULL"
"wonted","6","10","2.30","JJ","NULL","NULL"
"WOODBERRY","9","9","2.20","NULL","NULL","NULL"
"woodblocks","10","2","0.69","NN","NULL","NULL"
"WOODBURY'S","10","4","1.39","encl","NULL","NULL"
"WOODCOCK'S","10","6","1.79","encl","NULL","NULL"
"woodcocks","9","8","2.08","NN","NULL","NULL"
"woodcrafts","10","3","1.10","NN","NULL","NULL"
"woodcuts","8","78","4.36","NN","NULL","NULL"
"woodenheaded","12","0","0.00","NULL","NULL","NULL"
"woodenly","8","7","1.95","RB","NULL","NULL"
"woodenness","10","4","1.39","NN","NULL","NULL"
"woodier","7","1","0.00","JJ","NULL","NULL"
"woodiest","8","0","0.00","JJ","NULL","NULL"
"WOODIN","6","36","3.58","NULL","NULL","NULL"
"woodlands","9","589","6.38","NN","NULL","NULL"
"woodlice","8","9","2.20","NN","NULL","NULL"
"woodlouse","9","1","0.00","NN","NULL","NULL"
"WOODMAN'S","9","1","0.00","encl","NULL","NULL"
"woodmen","7","42","3.74","NN","NULL","NULL"
"woodpeckers","11","85","4.44","NN","NULL","NULL"
"WOODRUFF","8","342","5.83","NN","NULL","NULL"
"WOODRUFF'S","10","5","1.61","NULL","NULL","NULL"
"WOODS'S","7","2","0.69","encl","NULL","NULL"
"woodsheds","9","3","1.10","NN","NULL","NULL"
"woodsmen","8","16","2.77","NULL","NULL","NULL"
"WOODSMOKE","9","16","2.77","NN|VB","NULL","NULL"
"WOODWARDS","9","4","1.39","NN","NULL","NULL"
"woodworms","9","1","0.00","NN","NULL","NULL"
"wooer","5","13","2.56","NN","NULL","NULL"
"wooers","6","0","0.00","NN","NULL","NULL"
"woofer","6","511","6.24","NN","NULL","NULL"
"woofers","7","300","5.70","NN","NULL","NULL"
"wooing","6","111","4.71","NN|VB","NULL","NULL"
